##### Intel Schematic Connectivity Format DG-2012.100
BEGIN_COMPPROPS
###### RefDes:partName,partNumber,noMount,tolerance,value,maxV[voltage],powerDiss[wattage],maxP[wattage],elec_type,enetNonSeries,componentKind,power_supply,compComment
P4:CLP-Testpoint,,,,,,,,,,116,,
P5:CLP-Testpoint,,,,,,,,,,116,,
P6:CLP-Testpoint,,,,,,,,,,116,,
P7:CLP-Testpoint,,,,,,,,,,116,,
P8:CLP-Testpoint,,,,,,,,,,116,,
P9:CLP-Testpoint,,,,,,,,,,116,,
P10:CLP-Testpoint,,,,,,,,,,116,,
P11:CLP-Testpoint,,,,,,,,,,116,,
P12:CLP-Testpoint,,,,,,,,,,116,,
R1:A5E00309271,,,,4K7,,,,,,118,,
R2:A5E00309271,,,,4K7,,,,,,118,,
R3:A5E00152741,,,,100R,,,,,,118,,
R4:A5E00152741,,,,100R,,,,,,118,,
R5:A5E00152741,,,,100R,,,,,,118,,
R6:A5E34915683,,,,0R,,,,,,118,,
R7:A5E00369496,,,,6K8,,,,,,118,,
R8:A5E00309271,,,,4K7,,,,,,118,,
R9:A5E00143506,,,,3K3,,,,,,118,,
R10:A5E31291413,,,,10R,,,,,,118,,
R11:A5E34915683,,,,0R,,,,,,118,,
R12:A5E00152738,,,,10K,,,,,,118,,
R13:A5E00152738,,,,10K,,,,,,118,,
R14:A5E00152738,,,,10K,,,,,,118,,
R15:A5E00152738,,,,10K,,,,,,118,,
R16:A5E00152738,,,,10K,,,,,,118,,
R17:A5E00152738,,,,10K,,,,,,118,,
R18:A5E00152738,,,,10K,,,,,,118,,
R19:A5E00152741,,,,100R,,,,,,118,,
R20:A5E00152741,,,,100R,,,,,,118,,
R21:A5E00152741,,,,100R,,,,,,118,,
R22:A5E00152741,,,,100R,,,,,,118,,
R23:A5E00152738,,,,10K,,,,,,118,,
R24:A5E00152738,,,,10K,,,,,,118,,
R25:A5E00152738,,,,10K,,,,,,118,,
R26:A5E00152738,,,,10K,,,,,,118,,
R27:A5E00152738,,,,10K,,,,,,118,,
R28:A5E00152738,,,,10K,,,,,,118,,
R29:A5E00234145,,,,15K,,,,,,118,,
R30:A5E00234145,,,,15K,,,,,,118,,
R31:A5E00152738,,,,10K,,,,,,118,,
R32:A5E00152738,,,,10K,,,,,,118,,
R33:A5E00152499,,,,10M,,,,,,118,,
R34:A5E00152499,,,,10M,,,,,,118,,
R35:A5E00309271,,,,4K7,,,,,,118,,
R36:A5E00309271,,,,4K7,,,,,,118,,
R37:A5E00152738,,,,10K,,,,,,118,,
R38:A5E00152738,,,,10K,,,,,,118,,
R39:A5E00152738,,,,10K,,,,,,118,,
R40:A5E00152738,,,,10K,,,,,,118,,
R41:A5E00152738,,,,10K,,,,,,118,,
R42:A5E00309271,,,,4K7,,,,,,118,,
R43:A5E00309271,,,,4K7,,,,,,118,,
R44:A5E00152738,,,,10K,,,,,,118,,
R45:A5E00152738,,,,10K,,,,,,118,,
R46:A5E00091722,,,,100K,,,,,,118,,
R47:A5E00152671,,,,1K,,,,,,118,,
R48:A5E00152499,,,,10M,,,,,,118,,
R49:A5E34915683,,,,0R,,,,,,118,,
R50:A5E00313373,,,,120R,,,,,,118,,
R51:A5E00100463,,,,22R,,,,,,118,,
R52:A5E00152738,,,,10K,,,,,,118,,
R53:A5E00152738,,,,10K,,,,,,118,,
R54:A5E34915683,,,,0R,,,,,,118,,
R55:A5E34915683,,,,0R,,,,,,118,,
R56:A5E34915683,,,,0R,,,,,,118,,
R57:A5E00152738,,,,10K,,,,,,118,,
R58:A5E34915683,,,,0R,,,,,,118,,
R59:A5E00152738,,,,10K,,,,,,118,,
R60:A5E00152738,,,,10K,,,,,,118,,
R61:A5E00152738,,,,10K,,,,,,118,,
R62:A5E00152738,,,,10K,,,,,,118,,
R63:A5E00152671,,,,1K,,,,,,118,,
R64:A5E00152738,,,,10K,,,,,,118,,
R65:A5E00152738,,,,10K,,,,,,118,,
R66:A5E00152738,,,,10K,,,,,,118,,
R67:A5E00152738,,,,10K,,,,,,118,,
R68:A5E00152738,,,,10K,,,,,,118,,
R69:A5E00152738,,,,10K,,,,,,118,,
R70:A5E00152738,,,,10K,,,,,,118,,
R71:A5E00152738,,,,10K,,,,,,118,,
R72:A5E00152738,,,,10K,,,,,,118,,
R73:A5E00152738,,,,10K,,,,,,118,,
R74:A5E00152738,,,,10K,,,,,,118,,
R75:A5E00152738,,,,10K,,,,,,118,,
R76:A5E00152738,,,,10K,,,,,,118,,
R77:A5E00152738,,,,10K,,,,,,118,,
R78:A5E00152738,,,,10K,,,,,,118,,
R79:A5E00152738,,,,10K,,,,,,118,,
R80:A5E00152738,,,,10K,,,,,,118,,
R81:A5E00152738,,,,10K,,,,,,118,,
R82:A5E00152738,,,,10K,,,,,,118,,
R83:A5E00152738,,,,10K,,,,,,118,,
R84:A5E00152738,,,,10K,,,,,,118,,
R85:A5E00152738,,,,10K,,,,,,118,,
R86:A5E00152738,,,,10K,,,,,,118,,
R87:A5E00152738,,,,10K,,,,,,118,,
R88:A5E00152738,,,,10K,,,,,,118,,
R89:A5E00152738,,,,10K,,,,,,118,,
R90:A5E00152738,,,,10K,,,,,,118,,
R91:A5E00152738,,,,10K,,,,,,118,,
R92:A5E00152738,,,,10K,,,,,,118,,
R93:A5E00152738,,,,10K,,,,,,118,,
R94:A5E00152738,,,,10K,,,,,,118,,
R95:A5E00152738,,,,10K,,,,,,118,,
R96:A5E00152738,,,,10K,,,,,,118,,
R97:A5E00152738,,,,10K,,,,,,118,,
R98:A5E00152738,,,,10K,,,,,,118,,
R99:A5E34915683,,,,0R,,,,,,118,,
R100:A5E00152738,,,,10K,,,,,,118,,
R101:A5E00152738,,,,10K,,,,,,118,,
R102:A5E00152738,,,,10K,,,,,,118,,
R103:A5E00152738,,,,10K,,,,,,118,,
R104:A5E00152738,,,,10K,,,,,,118,,
R105:A5E00152738,,,,10K,,,,,,118,,
R106:A5E00152738,,,,10K,,,,,,118,,
R107:A5E00152738,,,,10K,,,,,,118,,
R108:A5E00152738,,,,10K,,,,,,118,,
R109:A5E00152671,,,,1K,,,,,,118,,
R110:A5E00309271,,,,4K7,,,,,,118,,
R111:A5E00143506,,,,3K3,,,,,,118,,
R112:A5E00152738,,,,10K,,,,,,118,,
R113:A5E00152738,,,,10K,,,,,,118,,
R114:A5E00152738,,,,10K,,,,,,118,,
R115:A5E00152738,,,,10K,,,,,,118,,
R116:A5E00152738,,,,10K,,,,,,118,,
R117:A5E34915683,,,,0R,,,,,,118,,
R118:A5E34915683,,,,0R,,,,,,118,,
R119:A5E34915683,,,,0R,,,,,,118,,
R120:A5E34915683,,,,0R,,,,,,118,,
R121:A5E34915683,,,,0R,,,,,,118,,
R122:A5E34915683,,,,0R,,,,,,118,,
R123:A5E00152671,,,,1K,,,,,,118,,
R124:A5E00309271,,,,4K7,,,,,,118,,
R125:A5E00143506,,,,3K3,,,,,,118,,
R126:A5E34915683,,,,0R,,,,,,118,,
R127:A5E34915683,,,,0R,,,,,,118,,
R128:A5E00152738,,,,10K,,,,,,118,,
R129:A5E00152738,,,,10K,,,,,,118,,
R130:A5E34915683,,,,0R,,,,,,118,,
R131:A5E34915683,,,,0R,,,,,,118,,
R132:A5E34915683,,,,0R,,,,,,118,,
R133:A5E34915683,,,,0R,,,,,,118,,
R134:A5E34915683,,,,0R,,,,,,118,,
R135:A5E00152738,,,,10K,,,,,,118,,
R136:A5E00152738,,,,10K,,,,,,118,,
R137:A5E00152738,,,,10K,,,,,,118,,
R138:A5E00152671,,,,1K,,,,,,118,,
R139:A5E00152738,,,,10K,,,,,,118,,
R140:A5E00152671,,,,1K,,,,,,118,,
R141:A5E00152671,,,,1K,,,,,,118,,
R142:A5E00152671,,,,1K,,,,,,118,,
